,year,stateicp,ind_var,pop,occ_var,H_occ,H_ind,H_occ_ind,MI_occ_ind,H_ind_given_occ,H_occ_given_ind,occ_div,ind_div,joint_div,beta,occ_coh,ind_coh
0,1850,37,121,4652267.33,154,2.33152909758,2.13791556942,2.61572902555,1.85371564145,0.284199927965,0.477813456131,10.2936695304,8.48173959273,13.6771837606,6.38349428788,1.61254464501,1.3286985482
1,1860,46,124,7407020.57,187,2.83685143231,2.50928257486,3.1821206438,2.16401336337,0.34526921149,0.672838068945,17.0619601402,12.2961053602,24.0978022599,8.70600801159,1.95979145867,1.41237009475
2,1870,48,130,11753094.6,199,2.76891189469,2.45780710272,3.28373855508,1.94298044233,0.514826660387,0.825931452363,15.9412787793,11.6791722131,26.6753136437,6.97952206475,2.28400721875,1.67334841909
3,1880,48,135,15765571.3,209,2.84352227651,2.61334822693,3.43133490386,2.02553559957,0.587812627357,0.817986676938,17.1761582935,13.6446598721,30.9178876222,7.58016979325,2.26593318646,1.80004673303
4,1900,51,142,25832370.0,237,3.31024438782,3.05929447231,4.08485176828,2.28468709186,0.774607380456,1.02555729597,27.391818881,21.3125152868,59.4331272236,9.82261216778,2.78864913051,2.16974007757
5,1910,51,145,37925484.49,257,3.63246299464,3.43682544292,5.05899526841,2.01029316916,1.42653227377,1.62216982548,37.8058175658,31.0881103715,157.432259669,7.46550568253,5.06406654465,4.16423370279
6,1920,51,146,41201455.58,263,3.79361017035,3.75555094968,5.50007571436,2.04908540567,1.70646554401,1.74452476468,44.4164621717,42.7577707022,244.710459659,7.76079987586,5.72318097131,5.50945410088
7,1930,51,147,48649036.65,265,3.89926467897,3.87875411799,5.80301278668,1.97500601028,1.90374810771,1.92425866869,49.3661357984,48.3639217799,331.296182577,7.20666296775,6.8500686128,6.71100091628
8,1940,49,119,50660728.0,213,3.90760349391,3.89295449655,5.99475867608,1.80579931439,2.08715518216,2.10180417952,49.7795120077,49.0556072526,401.31982423,6.08483319997,8.1809164478,8.061947738
9,1950,49,146,61050774.0,269,4.10873651533,4.22734928544,6.54301037898,1.79307542179,2.43427386365,2.31566109354,60.8697609532,68.5353236065,694.373763031,6.00790091286,10.1316186529,11.4075322813
10,1960,51,144,86487048.0,269,4.10023771934,4.27423354109,6.624276478,1.75019478244,2.52403875865,2.3500429369,60.354633356,71.8250672445,753.159088202,5.75572368072,10.4860199523,12.4788942675
11,1970,51,144,109836100.0,258,4.14849572874,4.20862096636,6.78262892806,1.57448776704,2.63413319932,2.57400796171,63.3386500889,67.2637168934,882.385405334,4.82826778666,13.1182968484,13.9312316271
12,1980,51,143,128267380.0,220,4.14324829973,4.16712987232,6.83012696285,1.4802512092,2.68687866312,2.66299709053,63.0071555268,64.5299767933,925.308284802,4.39404936791,14.3392006442,14.685765086
13,1990,51,143,149125681.0,219,4.15409525922,4.0979157483,6.81646243671,1.43554857081,2.66236717749,2.71854668841,63.6943116302,60.2146542218,912.750379866,4.20194944347,15.1582765302,14.3301710389
14,2000,51,132,164429343.0,184,4.06336236872,3.98824864272,6.65695845793,1.39465255351,2.59359608921,2.66870981521,58.1695701718,53.9603027909,778.180465385,4.03357287841,14.4213509772,13.3777929437
15,2010,51,131,180824650.0,183,4.05301007616,3.86280524012,6.5043567532,1.41145856307,2.45134667704,2.64155151308,57.5704880501,47.5986900128,668.045812789,4.10193397238,14.0349621515,11.6039629924
